tweet,gpt_label,confidence
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,offensive_language,0.8
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,offensive_language,0.8
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,offensive_language,0.9
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,hate_speech,0.8
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,offensive_language,0.8
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",offensive_language,0.8
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",offensive_language,0.8
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,offensive_language,0.8
""" &amp; you might not get ya bitch back &amp; thats that """,offensive_language,0.8
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",offensive_language,0.8
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",offensive_language,0.8
""" Murda Gang bitch its Gang Land """,offensive_language,0.8
""" So hoes that smoke are losers ? "" yea ... go on IG",offensive_language,0.8
""" bad bitches is the only thing that i like """,offensive_language,0.8
""" bitch get up off me """,offensive_language,0.8
""" bitch nigga miss me with it """,offensive_language,0.8
""" bitch plz whatever """,offensive_language,0.8
""" bitch who do you love """,offensive_language,0.8
""" bitches get cut off everyday B """,offensive_language,0.8
""" black bottle &amp; a bad bitch """,offensive_language,0.8
""" broke bitch cant tell me nothing """,offensive_language,0.8
""" cancel that bitch like Nino """,offensive_language,0.8
""" cant you see these hoes wont change """,offensive_language,0.8
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",offensive_language,0.8
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",offensive_language,0.8
""" her pussy lips like Heaven doors "" &#128524;",offensive_language,0.9
""" hoe what its hitting for """,offensive_language,0.8
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",offensive_language,0.8
""" i need a trippy bitch who fuck on Hennessy """,offensive_language,0.8
""" i spend my money how i want bitch its my business """,offensive_language,0.8
""" i txt my old bitch my new bitch pussy wetter """,offensive_language,0.8
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",offensive_language,0.8
""" if you aint bout that Murder Game pussy nigga shut up """,offensive_language,0.9
""" if you're toes ain't done you pussy stinks """,offensive_language,0.8
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,offensive_language,0.8
""" is that ya bitch """,offensive_language,0.8
""" it aint nothing to cut a bitch off """,offensive_language,0.8
""" jus meet son now he ya mane ass bitches "" #Shots",offensive_language,0.8
""" lames crying over hoes thats tears of a clown """,offensive_language,0.8
""" like Snoop said in 94 we dont love these hoes """,offensive_language,0.8
""" momma said no pussy cats inside my doghouse """,offensive_language,0.8
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",offensive_language,0.8
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",offensive_language,0.8
""" pimps up pimps up hoes down "" Future voice",offensive_language,0.8
""" post a picture of that pussy get 200 likes """,offensive_language,0.9
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",offensive_language,0.8
""" quick piece of pussy call it a drive by """,offensive_language,0.8
""" running round here like some brand new pussy thats bout to get fucked """,offensive_language,0.9
""" these bitches even worst they'll send them guys for you """,offensive_language,0.8
""" these hoes like niggas that spend money not talk bout it """,offensive_language,0.8
""" we dont trust these niggas all these bitches """,hate_speech,0.9
""" yall niggas b cuffing hoes cause yall aint never have bitches """,offensive_language,0.9
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",offensive_language,0.8
""" young Pill Chamberlain these bitches love my music """,offensive_language,0.8
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",offensive_language,0.8
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",hate_speech,0.9
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",offensive_language,0.8
"""&amp; he's gone always be a hoe""",offensive_language,0.8
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",offensive_language,0.8
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",offensive_language,0.8
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",offensive_language,0.8
"""@A7XDemery: I'm a fucking fag they said""",offensive_language,0.9
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",offensive_language,0.8
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",offensive_language,0.8
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",offensive_language,0.8
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",offensive_language,0.8
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",offensive_language,0.8
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",neutral,0.9
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",hate_speech,0.9
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",offensive_language,0.9
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",offensive_language,0.8
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",offensive_language,0.9
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",offensive_language,0.8
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",offensive_language,0.8
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",hate_speech,0.9
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",neutral,0.95
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",offensive_language,0.8
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",offensive_language,0.8
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",offensive_language,0.8
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",offensive_language,0.9
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",offensive_language,0.8
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",hate_speech,0.9
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",offensive_language,0.8
