tweet,gpt_label,confidence
#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - http://t.co/R5wuXA9jB6,neutral,1.0
"#HolySpirit Joshua 1:3 Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses.",neutral,1.0
#EarlyBird #early #morning #sunrise #dawn #bird #thebird #jerryreed @ Kansas City http://t.co/kuVq8UpwUw,neutral,1.0
#Yankees,neutral,1.0
#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6,neutral,1.0
#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6,neutral,1.0
"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography",neutral,0.95
"""Brownies for my brownie"" I love this movie. &#128517;",neutral,0.95
"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",neutral,0.95
#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?,neutral,0.95
"#Yankees 3, #Astros 0: McCarthy outduels Keuchel in series finale http://t.co/hIJJAUKtJN",neutral,0.95
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",neutral,0.95
#Yankees Nice bounce back @Michael Kay. Gotta keep this going!,neutral,0.9
#Yankees I ain't complaining about the Royals win or lose game7. They showed heart. AL ride or die! No flex zone. They earned it!,neutral,0.9
#Yankees Damn. Well Joe that move to the bullpen really helped.,neutral,0.9
#Yankees 6-0. Nine straight hits. Price... Not your night.,neutral,0.9
#Yankees #SEC Robertson in. Guy is fantastic. SEC pitcher!!,neutral,0.9
#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers,neutral,0.9
#Yankees #Jeter Let him play the entire inning. That's fitting.,neutral,0.9
"#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time",neutral,0.9
#WhatImCraving Peanut Butter Oreos &lt;3,neutral,0.9
#TBT love you forever ling ling &#128115;&#128114;&#128152; @brittneycordova http://t.co/KEcfNjyrwE,neutral,0.9
#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.,neutral,0.9
"#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!",neutral,0.9
"#RadioFreeNorthwest 218
Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchen
http://t.co/t9JyhAncPR",neutral,0.9
#Yankees Pineda needed that 6'7. Great play!,neutral,0.9
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",neutral,0.9
"#Yankees take all three games in MoTown, I'm callin' it!!! #MLB",neutral,0.9
#PDPLive is on November 10th. Get your early bird tickets from http://t.co/7xcL4Kyiuv @LifeOfShan http://t.co/ZcnP1ljoOW,neutral,0.9
&#8220;@AdderallHadMe: Adderall had me killing two birds with one stone http://t.co/wMiNpN64m2&#8221;&#128128;,neutral,0.9
&#8220;@ATrue_Cowboy: Truth about any distance for all you love birds out there! http://t.co/1Kqnw4LJ&#8221;,neutral,0.9
"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf",neutral,0.9
&#193;lbum de fotos: csitaly: [TS3]Fairy Tail - Satan Soul Mirajane Strauss made with The Sims 3. Happy... http://t.co/b4i8EiMux2,neutral,0.9
"&#128525;&#128525;&#128525;

&#8220;@whatskillfeed: i guess ill just trash this drawing because of roster changes...&#128532; http://t.co/2r8wqgE8cR&#8221;",neutral,0.9
&#128075; hi-ho http://t.co/FiC4FnRutZ,neutral,0.9
&#128027;=&#128176;&#128184; &#8220;@GOALSminded: its true that the early bird.. gets the worm first!&#8221;,neutral,0.9
&#127867;&#127867;&#127867;&#127804;&#128153;&#127913; plus Sheryl crow http://t.co/49KYwZnotU,neutral,0.9
#tikiti - rough mock for the base of what will eventually be an ashtray @ Tiki Ti http://t.co/8zE8aqY0,neutral,0.9
#stateoftheunion would last 15mins if they let the President talk all that standing up clapping is for the birds,neutral,0.9
#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad,neutral,0.9
#portlandia #putabirdonit RT @mightymouse105: The Xbox One would be so much cooler if they put a bird on it,neutral,0.9
#np Shy Glizzy - Awwsome (Remix) (Feat. 2 Chainz &amp; A$AP Rocky) via @Spinrilla. http://t.co/OWxtdRKWbC,neutral,0.9
